Timestamp: 17439 | X_pos: 0.21219417452812195 | Y_pos: -0.0007277424447238445 | yaw: -2.86279559135437 | front: 3.135 | back: 0.788 | left: 238 | right: 0.897 | down: 329 | 
Timestamp: 17539 | X_pos: 0.2271088808774948 | Y_pos: -0.0022420829627662897 | yaw: -2.9779415130615234 | front: 3.115 | back: 0.802 | left: 235 | right: 0.898 | down: 334 | 
Timestamp: 17639 | X_pos: 0.23969094455242157 | Y_pos: -0.005026684608310461 | yaw: -2.987037181854248 | front: 32.766 | back: 0.812 | left: 241 | right: 0.892 | down: 338 | 
Timestamp: 17739 | X_pos: 0.25483542680740356 | Y_pos: -0.010240665636956692 | yaw: -2.8565165996551514 | front: 3.086 | back: 0.826 | left: 243 | right: 0.895 | down: 339 | 
Timestamp: 17839 | X_pos: 0.2687799632549286 | Y_pos: -0.01277028489857912 | yaw: -2.680055618286133 | front: 3.093 | back: 0.838 | left: 247 | right: 0.889 | down: 338 | 
Timestamp: 17939 | X_pos: 0.2881052792072296 | Y_pos: -0.015869492664933205 | yaw: -2.529604434967041 | front: 3.06 | back: 0.851 | left: 247 | right: 0.882 | down: 340 | 
Timestamp: 18039 | X_pos: 0.3033806383609772 | Y_pos: -0.019316209480166435 | yaw: -2.398118019104004 | front: 3.053 | back: 0.868 | left: 254 | right: 0.884 | down: 338 | 
Timestamp: 18139 | X_pos: 0.3185219466686249 | Y_pos: -0.02237057127058506 | yaw: -2.2955853939056396 | front: 3.033 | back: 0.878 | left: 260 | right: 0.877 | down: 339 | 
Timestamp: 18239 | X_pos: 0.3343740701675415 | Y_pos: -0.025543125346302986 | yaw: -2.211282730102539 | front: 3.005 | back: 0.892 | left: 261 | right: 0.874 | down: 341 | 
Timestamp: 18339 | X_pos: 0.35086020827293396 | Y_pos: -0.026764890179038048 | yaw: -2.1803457736968994 | front: 3.014 | back: 0.904 | left: 265 | right: 0.871 | down: 341 | 
Timestamp: 18439 | X_pos: 0.36845943331718445 | Y_pos: -0.029566941782832146 | yaw: -2.099090814590454 | front: 2.995 | back: 0.918 | left: 266 | right: 0.87 | down: 343 | 
Timestamp: 18539 | X_pos: 0.387620747089386 | Y_pos: -0.030937375500798225 | yaw: -1.945037603378296 | front: 2.995 | back: 0.93 | left: 264 | right: 0.869 | down: 343 | 
Timestamp: 18639 | X_pos: 0.3988681435585022 | Y_pos: -0.030748633667826653 | yaw: -1.7828065156936646 | front: 2.989 | back: 0.942 | left: 268 | right: 0.865 | down: 343 | 
Timestamp: 18739 | X_pos: 0.41378486156463623 | Y_pos: -0.031227584928274155 | yaw: -1.6807595491409302 | front: 2.981 | back: 0.952 | left: 269 | right: 0.864 | down: 342 | 
Timestamp: 18839 | X_pos: 0.4297987222671509 | Y_pos: -0.02974468655884266 | yaw: -1.5187121629714966 | front: 2.977 | back: 0.963 | left: 270 | right: 0.867 | down: 344 | 
Timestamp: 18939 | X_pos: 0.4453735053539276 | Y_pos: -0.027393203228712082 | yaw: -1.3416314125061035 | front: 2.965 | back: 0.971 | left: 270 | right: 0.87 | down: 337 | 
Timestamp: 19039 | X_pos: 0.45815446972846985 | Y_pos: -0.026569051668047905 | yaw: -1.0737806558609009 | front: 2.941 | back: 0.981 | left: 267 | right: 0.867 | down: 335 | 
Timestamp: 19139 | X_pos: 0.4691125750541687 | Y_pos: -0.02538636140525341 | yaw: -0.814384937286377 | front: 2.943 | back: 0.991 | left: 268 | right: 0.866 | down: 340 | 
Timestamp: 19239 | X_pos: 0.48366478085517883 | Y_pos: -0.022984178736805916 | yaw: -0.6351061463356018 | front: 2.928 | back: 1.001 | left: 267 | right: 0.867 | down: 339 | 
Timestamp: 19339 | X_pos: 0.49808669090270996 | Y_pos: -0.021279992535710335 | yaw: -0.4419938623905182 | front: 2.918 | back: 1.011 | left: 265 | right: 0.871 | down: 337 | 
Timestamp: 19439 | X_pos: 0.5072280764579773 | Y_pos: -0.020891528576612473 | yaw: -0.18473263084888458 | front: 2.901 | back: 1.021 | left: 268 | right: 0.869 | down: 336 | 
Timestamp: 19539 | X_pos: 0.5191543102264404 | Y_pos: -0.021379342302680016 | yaw: 0.10509539395570755 | front: 2.893 | back: 1.031 | left: 265 | right: 0.87 | down: 334 | 
Timestamp: 19639 | X_pos: 0.5321257710456848 | Y_pos: -0.022290492430329323 | yaw: 0.3613811433315277 | front: 2.889 | back: 1.04 | left: 268 | right: 0.871 | down: 334 | 
Timestamp: 19739 | X_pos: 0.5385913252830505 | Y_pos: -0.021590590476989746 | yaw: 0.5440969467163086 | front: 2.884 | back: 1.049 | left: 265 | right: 0.871 | down: 334 | 
Timestamp: 19839 | X_pos: 0.5571832060813904 | Y_pos: -0.02119877189397812 | yaw: 0.63548344373703 | front: 2.856 | back: 1.056 | left: 267 | right: 0.871 | down: 328 | 
Timestamp: 19939 | X_pos: 0.5674117207527161 | Y_pos: -0.022674668580293655 | yaw: 0.556892991065979 | front: 2.862 | back: 1.067 | left: 264 | right: 0.871 | down: 329 | 
Timestamp: 20039 | X_pos: 0.5830554962158203 | Y_pos: -0.01996728591620922 | yaw: 0.36199691891670227 | front: 2.848 | back: 1.08 | left: 266 | right: 0.87 | down: 331 | 
Timestamp: 20139 | X_pos: 0.5956547856330872 | Y_pos: -0.01787097565829754 | yaw: 0.08559753000736237 | front: 2.839 | back: 1.086 | left: 266 | right: 0.875 | down: 328 | 
Timestamp: 20239 | X_pos: 0.6059657335281372 | Y_pos: -0.01833106391131878 | yaw: -0.11465025693178177 | front: 2.823 | back: 1.097 | left: 266 | right: 0.871 | down: 327 | 
Timestamp: 20339 | X_pos: 0.6188361644744873 | Y_pos: -0.017121054232120514 | yaw: -0.22485263645648956 | front: 2.812 | back: 1.106 | left: 264 | right: 0.87 | down: 333 | 
Timestamp: 20439 | X_pos: 0.6333990097045898 | Y_pos: -0.017146745696663857 | yaw: -0.3354698419570923 | front: 2.799 | back: 1.116 | left: 264 | right: 0.87 | down: 332 | 
Timestamp: 20539 | X_pos: 0.6458315253257751 | Y_pos: -0.018226949498057365 | yaw: -0.4100711941719055 | front: 2.796 | back: 1.131 | left: 263 | right: 0.875 | down: 331 | 
Timestamp: 20639 | X_pos: 0.6587375402450562 | Y_pos: -0.018828431144356728 | yaw: -0.4506879150867462 | front: 2.784 | back: 1.142 | left: 266 | right: 0.869 | down: 333 | 
Timestamp: 20739 | X_pos: 0.6763737797737122 | Y_pos: -0.02031065709888935 | yaw: -0.4828846752643585 | front: 2.769 | back: 1.15 | left: 277 | right: 0.876 | down: 330 | 
Timestamp: 20839 | X_pos: 0.6893212795257568 | Y_pos: -0.02179175801575184 | yaw: -0.5469948649406433 | front: 2.769 | back: 1.161 | left: 285 | right: 0.872 | down: 329 | 
Timestamp: 20939 | X_pos: 0.7008816599845886 | Y_pos: -0.022128397598862648 | yaw: -0.571364164352417 | front: 2.748 | back: 1.176 | left: 320 | right: 0.87 | down: 329 | 
Timestamp: 21039 | X_pos: 0.7193683981895447 | Y_pos: -0.022070668637752533 | yaw: -0.5209903120994568 | front: 2.738 | back: 1.186 | left: 479 | right: 0.869 | down: 329 | 
Timestamp: 21139 | X_pos: 0.7295690774917603 | Y_pos: -0.019741639494895935 | yaw: -0.2831563353538513 | front: 2.714 | back: 1.2 | left: 1585 | right: 0.869 | down: 328 | 
Timestamp: 21239 | X_pos: 0.7433653473854065 | Y_pos: -0.01760769821703434 | yaw: 1.3322652578353882 | front: 2.716 | back: 1.211 | left: 32766 | right: 0.871 | down: 331 | 
Timestamp: 21339 | X_pos: 0.7507967352867126 | Y_pos: -0.016666913405060768 | yaw: 5.320521354675293 | front: 2.705 | back: 1.219 | left: 32766 | right: 0.869 | down: 330 | 
Timestamp: 21439 | X_pos: 0.7591624855995178 | Y_pos: -0.013285924680531025 | yaw: 11.87624454498291 | front: 2.706 | back: 1.228 | left: 32766 | right: 0.877 | down: 333 | 
Timestamp: 21539 | X_pos: 0.7340846657752991 | Y_pos: -0.015042498707771301 | yaw: 18.523759841918945 | front: 2.706 | back: 1.25 | left: 329 | right: 0.889 | down: 334 | 
Timestamp: 21639 | X_pos: 0.7309414744377136 | Y_pos: -0.01610172726213932 | yaw: 26.73002052307129 | front: 2.743 | back: 1.277 | left: 281 | right: 0.908 | down: 334 | 
Timestamp: 21739 | X_pos: 0.7235393524169922 | Y_pos: -0.01856311224400997 | yaw: 35.56234359741211 | front: 32.766 | back: 1.357 | left: 290 | right: 0.955 | down: 340 | 
Timestamp: 21839 | X_pos: 0.7129464149475098 | Y_pos: -0.02714686095714569 | yaw: 44.88970184326172 | front: 32.766 | back: 1.449 | left: 321 | right: 1.032 | down: 344 | 
Timestamp: 21939 | X_pos: 0.7038916945457458 | Y_pos: -0.034584127366542816 | yaw: 54.37638854980469 | front: 32.766 | back: 32.766 | left: 364 | right: 1.154 | down: 340 | 
Timestamp: 22039 | X_pos: 0.7285271286964417 | Y_pos: -0.06856836378574371 | yaw: 63.99371337890625 | front: 3.242 | back: 32.766 | left: 436 | right: 1.34 | down: 346 | 
Timestamp: 22139 | X_pos: 0.7495742440223694 | Y_pos: -0.06848005950450897 | yaw: 73.70693969726562 | front: 32.766 | back: 1.015 | left: 540 | right: 32.766 | down: 342 | 
Timestamp: 22239 | X_pos: 0.7664077877998352 | Y_pos: -0.06488952785730362 | yaw: 82.00874328613281 | front: 2.467 | back: 0.934 | left: 32766 | right: 32.766 | down: 340 | 
Timestamp: 22339 | X_pos: 0.7795000076293945 | Y_pos: -0.055971816182136536 | yaw: 87.9087142944336 | front: 2.415 | back: 0.888 | left: 1223 | right: 2.653 | down: 340 | 
Timestamp: 22439 | X_pos: 0.7901884317398071 | Y_pos: -0.03930100426077843 | yaw: 91.79792785644531 | front: 2.394 | back: 0.875 | left: 1268 | right: 2.629 | down: 335 | 
Timestamp: 22539 | X_pos: 0.7975909113883972 | Y_pos: -0.017522253096103668 | yaw: 94.19461822509766 | front: 2.38 | back: 0.891 | left: 1289 | right: 2.601 | down: 326 | 
Timestamp: 22639 | X_pos: 0.8066640496253967 | Y_pos: 0.010270576924085617 | yaw: 95.44718933105469 | front: 2.342 | back: 0.913 | left: 1301 | right: 2.575 | down: 321 | 
Timestamp: 22739 | X_pos: 0.8134480118751526 | Y_pos: 0.03415669873356819 | yaw: 96.00084686279297 | front: 32.766 | back: 0.931 | left: 1312 | right: 2.576 | down: 310 | 
Timestamp: 22839 | X_pos: 0.8181052803993225 | Y_pos: 0.05780703201889992 | yaw: 96.07573699951172 | front: 32.766 | back: 0.951 | left: 1320 | right: 2.568 | down: 308 | 
Timestamp: 22939 | X_pos: 0.8229280114173889 | Y_pos: 0.08056286722421646 | yaw: 95.83247375488281 | front: 32.766 | back: 0.98 | left: 1323 | right: 2.56 | down: 304 | 
Timestamp: 23039 | X_pos: 0.8263316750526428 | Y_pos: 0.09946805238723755 | yaw: 95.49211883544922 | front: 2.098 | back: 1.003 | left: 1327 | right: 32.766 | down: 305 | 
Timestamp: 23139 | X_pos: 0.8300241231918335 | Y_pos: 0.1193477064371109 | yaw: 95.1565170288086 | front: 32.766 | back: 1.023 | left: 1326 | right: 2.549 | down: 303 | 
Timestamp: 23239 | X_pos: 0.8346899151802063 | Y_pos: 0.1369580328464508 | yaw: 94.82539367675781 | front: 2.174 | back: 1.04 | left: 1331 | right: 2.552 | down: 306 | 
Timestamp: 23339 | X_pos: 0.8378688097000122 | Y_pos: 0.15387077629566193 | yaw: 94.61196899414062 | front: 32.766 | back: 1.057 | left: 1331 | right: 2.526 | down: 305 | 
Timestamp: 23439 | X_pos: 0.8420488834381104 | Y_pos: 0.16946443915367126 | yaw: 94.41482543945312 | front: 2.141 | back: 1.062 | left: 1322 | right: 2.532 | down: 305 | 
Timestamp: 23539 | X_pos: 0.8457511067390442 | Y_pos: 0.1859770119190216 | yaw: 94.21434020996094 | front: 2.155 | back: 1.082 | left: 1312 | right: 2.527 | down: 307 | 
Timestamp: 23639 | X_pos: 0.8499661087989807 | Y_pos: 0.19919754564762115 | yaw: 94.04823303222656 | front: 2.144 | back: 1.099 | left: 1291 | right: 2.519 | down: 307 | 
Timestamp: 23739 | X_pos: 0.8543735146522522 | Y_pos: 0.2141832411289215 | yaw: 93.96609497070312 | front: 2.132 | back: 1.113 | left: 1249 | right: 2.522 | down: 308 | 
